file_path,language,category,origin,evidence,action,compile_status,notes
plasticwork.c,C,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file
random_print.c,C,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file
readxstateini.c,C,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file
stof.c,C,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file
stoi.c,C,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file
strcmp2.c,C,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file
strcpy1.c,C,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file
v_betrag.c,C,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file
v_prod.c,C,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file
v_result.c,C,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file
solver.c,C,B,CalculiX-derived main entry (renamed from WeICME.c 2026-06-07),Main program entry; dispatches solver flow; overrides WeICME.o in WeICME_MT.a,Keep as SOLVER_MAIN_OBJ; renamed per Phase D,compiled,Solver main entry with AESim_FM customizations; renamed to solver.c as part of naming cleanup
solver.h,C,A,CalculiX original header (renamed from WeICME.h 2026-06-07),Copyright Guido Dhondt 1998-2018; all CalculiX function declarations,Keep as public interface header; renamed per Phase D,compiled,CalculiX core API header; renamed to solver.h as part of naming cleanup; original copyright preserved
readfrd.h,C,A,CalculiX original (CGX),CGX FRD post-processor reader; Summen/Nodes/Elements/Datasets structs,Keep as FRD reader interface,compiled,"CGX code, unmodified"
index.h,C,C,AESim_FM self-developed,DRX state variable index constants for drxc.c,Keep,compiled,DRX-specific indices
appkey.h,C,License,License module,appkey.cpp header; license interface declarations,Mark as license component; do not mix with CalculiX,compiled_in_GUI,Not for open-source component stats
appkey.cpp,C++,License,License module,Qt singleton; license key validation/date/count/feature switches,Mark as license component,compiled_in_GUI,Not for open-source component stats
AFCA_main.cpp,C++,E,Independent program,int main(); austenite-ferrite phase transformation 2D CA,Do not link into main solver,not_compiled,Independent executable
GGCA.cpp,C++,E,Independent program,int main(); grain growth 2D CA,Do not link into main solver,not_compiled,Independent executable
Rolling Soft.cpp,C++,C,AESim_FM self-developed,MFC DLL; rolling process parameter simulation,Use via DLL,compiled_as_MFC_DLL,Not solver core
segregation.cpp,C++,C,AESim_FM self-developed,MFC class; macrosegregation modeling,Use via DLL,compiled_as_MFC_DLL,Not solver core
CCT.f,Fortran,D,Abaqus-style legacy,USDFLD+ABA_PARAM.INC+GETVRM,Do not link into main solver,not_compiled,
DRX_meso.f,Fortran,E,Independent program,PROGRAM main; mesoscale DRX,Do not link into main solver,not_compiled,
GGCA2D.f,Fortran,E,Independent program,Program main; grain growth 2D CA,Do not link into main solver,not_compiled,
GGPF.f,Fortran,E,Independent program,PROGRAM main; phase field grain growth,Do not link into main solver,not_compiled,
K90DRX.f,Fortran,D,Abaqus-style legacy,USDFLD+ABA_PARAM.INC+GETVRM; SRX/MRX logic,Do not link into main solver,not_compiled,
SRX_3D.f,Fortran,E,Independent program,PROGRAM main; static recrystallization 3D,Do not link into main solver,not_compiled,
TTT.f,Fortran,D,Abaqus-style legacy,USDFLD+HETVAL+ABA_PARAM.INC,Do not link into main solver,not_compiled,
constitutive.f,Fortran,C,AESim_FM self-developed,module constitutive; constitutive dispatcher,Add to Makefile.inc to compile,not_compiled,
crystallite.f,Fortran,C,AESim_FM self-developed,module crystallite; crystallite stress integration,Add to Makefile.inc to compile,not_compiled,
formatfile.f,Fortran,A,CalculiX original,FORMAT statements only,Do not link into main solver,not_compiled,
gauss.f,Fortran,A,CalculiX original,Gauss point data; included by bmatrix.f etc.,Do not link into main solver,not_compiled,
plastic_disloKM.f,Fortran,C,AESim_FM self-developed,module plastic_disloKM; dislocation density KM plasticity,Add to Makefile.inc to compile,not_compiled,
plastic_isotropic.f,Fortran,C,AESim_FM self-developed,module plastic_isotropic; isotropic plasticity,Add to Makefile.inc to compile,not_compiled,
plastic_kmjmak.f,Fortran,C,AESim_FM self-developed,module plastic_kmjmak; dislocation-twin plasticity,Add to Makefile.inc to compile,not_compiled,
plastic_phenopowerlaw_classic.f,Fortran,C,AESim_FM self-developed,module; phenomenological power-law crystal plasticity,Add to Makefile.inc to compile,not_compiled,
srx_mrx_k90.f,Fortran,C,AESim_FM self-developed,SRX/MRX recrystallization model extracted from K90DRX.f; internal explicit interface; activated via gsloc(1,2),Compiled into aesim_solver_ext,compiled,New C-class converted model; does not use USDFLD/GETVRM; SDV22-43
ABA_PARAM.INC,Fortran_INCLUDE,A,CalculiX original,ABAQUS parameter include file; standard implicit type definitions,Keep but only for D-class file use,not_compiled_directly,Included by D-class files
Makefile.inc,Makefile,Build,Build config for CalculiX-derived solver,Defines SCCXF and SCCXC source file lists for compilation,Keep as build config,active_build_file,143 Fortran + 14 C source files listed; all compiled files are B-class overrides
creepsoftenings.f,Fortran,C,AESim_FM self-developed,*CREEP-SOFTENING keyword reader; stores 16 params into /creepdata/ common block; MODEL_TYPE=1(Norton) 2(User); sets kode=-72 or powder-coupled kode=-73,Compiled into aesim_solver_ext,compiled,New C-class file; reads 8 params/line x 2 lines; independent chain SDV up to 53; porous chain SDV up to 24
creep_softening_model.f,Fortran,C,AESim_FM self-developed,"Core creep/softening routine; Norton + historical user CREEP formula; deviatoric flow rule; independent chain SDV44-53; porous powder chain SDV3-5/9-11/21-24",Compiled into aesim_solver_ext,compiled,New C-class file; activated via kode=-72/-73 in transformation.f; ENABLE=0 bypass; powder mode preserves metal_powder stress/tangent
materialdata_me.f,Fortran,B,"CalculiX-derived, modified",Added nelconst=-72 override for creep/softening material constants,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; 1-line addition for kode=-72 handling
calinput.f,Fortran,B,"CalculiX-derived, modified","Added *CREEP-SOFTENING keyword dispatch; textpart(16) character*132",Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; creepsoftenings call added
transformation.f,Fortran,B,"CalculiX-derived, modified",Added kode=-72 dispatch calling creep_softening_model for creep/softening material,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; elseif(kode.eq.-72) branch added
